locality_code,locality_name,year,registered_person_thefts,incident_locality_name,reported_123_theft_incidents,population,period_label,coverage,theft_rate_per_100k,incident_rate_per_100k,incidents_per_registered_theft,count_rank,rate_rank,theft_yoy_pct,incident_yoy_pct,divergence_yoy_pp
01,Usaquén,2018,9117,Usaquén,11415,534118,Enero-Diciembre,full_year,1706.926185,2137.168191,1.2520565975649884,5,9,,,
02,Chapinero,2018,10204,Chapinero,6851,156010,Enero-Diciembre,full_year,6540.606371,4391.385168,0.6714033712269698,3,3,,,
03,Santa Fe,2018,7228,Santa Fe,5233,103640,Enero-Diciembre,full_year,6974.141258,5049.208800,0.7239900387382402,6,2,,,
04,San Cristóbal,2018,2343,San Cristóbal,6019,384392,Enero-Diciembre,full_year,609.534017,1565.849445,2.5689287238583014,15,17,,,
05,Usme,2018,1854,Usme,4266,362295,Enero-Diciembre,full_year,511.737672,1177.493479,2.3009708737864076,17,19,,,
06,Tunjuelito,2018,2181,Tunjuelito,3734,171130,Enero-Diciembre,full_year,1274.469701,2181.966926,1.7120586886749198,16,11,,,
07,Bosa,2018,4340,Bosa,10223,692418,Enero-Diciembre,full_year,626.789021,1476.420313,2.355529953917051,12,16,,,
08,Kennedy,2018,11081,Kennedy,20184,1016834,Enero-Diciembre,full_year,1089.755063,1984.984766,1.8214962548506453,1,13,,,
09,Fontibón,2018,6204,Fontibón,6232,364832,Enero-Diciembre,full_year,1700.508727,1708.183493,1.0045132172791746,8,10,,,
10,Engativá,2018,9667,Engativá,15458,790205,Enero-Diciembre,full_year,1223.353434,1956.201239,1.599048308679011,4,12,,,
11,Suba,2018,10971,Suba,18051,1149099,Enero-Diciembre,full_year,954.748024,1570.882927,1.6453377085042384,2,14,,,
12,Barrios Unidos,2018,4572,Barrios Unidos,5158,132784,Enero-Diciembre,full_year,3443.185926,3884.504157,1.1281714785651793,10,6,,,
13,Teusaquillo,2018,6976,Teusaquillo,5419,144122,Enero-Diciembre,full_year,4840.343598,3760.008881,0.7768061926605505,7,5,,,
14,Los Mártires,2018,4412,Los Mártires,4705,73076,Enero-Diciembre,full_year,6037.549948,6438.502381,1.066409791477788,11,4,,,
15,Antonio Nariño,2018,1804,Antonio Nariño,2707,79011,Enero-Diciembre,full_year,2283.226386,3426.105226,1.5005543237250554,18,7,,,
16,Puente Aranda,2018,4761,Puente Aranda,8062,242184,Enero-Diciembre,full_year,1965.860668,3328.873914,1.6933417349296367,9,8,,,
17,La Candelaria,2018,1573,La Candelaria,912,17018,Enero-Diciembre,full_year,9243.154307,5359.031614,0.5797838525111252,19,1,,,
18,Rafael Uribe Uribe,2018,3347,Rafael Uribe Uribe,7067,363471,Enero-Diciembre,full_year,920.843754,1944.309175,2.1114430833582314,13,15,,,
19,Ciudad Bolívar,2018,3305,Ciudad Bolívar,9458,611245,Enero-Diciembre,full_year,540.699719,1547.333721,2.8617246596066566,14,18,,,
20,Sumapaz,2018,3,Sumapaz,0,3172,Enero-Diciembre,full_year,94.577554,0.000000,0.0,20,20,,,
01,Usaquén,2019,10806,Usaquén,10966,556257,Enero-Diciembre,full_year,1942.627239,1971.390922,1.0148065889320748,5,10,18.525831,-3.933421,-22.459252
02,Chapinero,2019,13551,Chapinero,7997,158365,Enero-Diciembre,full_year,8556.814953,5049.726897,0.5901409490074533,1,2,32.800862,16.727485,-16.073377
03,Santa Fe,2019,8099,Santa Fe,5078,106046,Enero-Diciembre,full_year,7637.251759,4788.488015,0.6269909865415484,7,3,12.050360,-2.961972,-15.012332
04,San Cristóbal,2019,2857,San Cristóbal,6401,387780,Enero-Diciembre,full_year,736.757956,1650.678220,2.240462023101155,15,17,21.937687,6.346569,-15.591118
05,Usme,2019,2294,Usme,3690,369554,Enero-Diciembre,full_year,620.748253,998.500896,1.6085440278988665,18,19,23.732470,-13.502110,-37.234580
06,Tunjuelito,2019,2551,Tunjuelito,3186,173152,Enero-Diciembre,full_year,1473.272038,1840.001848,1.248921991375931,16,11,16.964695,-14.675951,-31.640646
07,Bosa,2019,5225,Bosa,9881,701367,Enero-Diciembre,full_year,744.973744,1408.820204,1.8911004784688996,12,16,20.391705,-3.345398,-23.737103
08,Kennedy,2019,13044,Kennedy,18720,1038169,Enero-Diciembre,full_year,1256.442833,1803.174628,1.4351425942962281,2,13,17.715008,-7.253270,-24.968278
09,Fontibón,2019,7803,Fontibón,6708,371367,Enero-Diciembre,full_year,2101.155999,1806.299429,0.8596693579392541,8,9,25.773694,7.637997,-18.135697
10,Engativá,2019,11535,Engativá,15760,803512,Enero-Diciembre,full_year,1435.572835,1961.389500,1.366276549631556,4,12,19.323472,1.953681,-17.369791
11,Suba,2019,12708,Suba,17270,1175678,Enero-Diciembre,full_year,1080.908208,1468.939625,1.3589864652187598,3,15,15.832650,-4.326630,-20.159280
12,Barrios Unidos,2019,5432,Barrios Unidos,5193,133784,Enero-Diciembre,full_year,4060.276266,3881.630090,0.9560014727540501,11,6,18.810149,0.678558,-18.131591
