year,locality_code,locality_name,population
2005,01,Usaquén,415099
2005,02,Chapinero,121307
2005,03,Santa Fe,96046
2005,04,San Cristóbal,400187
2005,05,Usme,296824
2005,06,Tunjuelito,180738
2005,07,Bosa,499108
2005,08,Kennedy,933574
2005,09,Fontibón,295840
2005,10,Engativá,789840
2005,11,Suba,907380
2005,12,Barrios Unidos,218880
2005,13,Teusaquillo,135325
2005,14,Los Mártires,93245
2005,15,Antonio Nariño,113969
2005,16,Puente Aranda,249279
2005,17,La Candelaria,22298
2005,18,Rafael Uribe Uribe,371504
2005,19,Ciudad Bolívar,564441
2005,20,Sumapaz,6026
2006,01,Usaquén,434211
2006,02,Chapinero,126849
2006,03,Santa Fe,96952
2006,04,San Cristóbal,395796
2006,05,Usme,306676
2006,06,Tunjuelito,178342
2006,07,Bosa,530704
2006,08,Kennedy,944250
2006,09,Fontibón,306662
2006,10,Engativá,786757
2006,11,Suba,945657
2006,12,Barrios Unidos,203063
2006,13,Teusaquillo,136344
2006,14,Los Mártires,89370
2006,15,Antonio Nariño,107425
2006,16,Puente Aranda,247064
2006,17,La Candelaria,21293
2006,18,Rafael Uribe Uribe,368593
2006,19,Ciudad Bolívar,569896
2006,20,Sumapaz,5439
2007,01,Usaquén,450837
2007,02,Chapinero,131696
2007,03,Santa Fe,97837
2007,04,San Cristóbal,392436
2007,05,Usme,315329
2007,06,Tunjuelito,176467
2007,07,Bosa,557993
2007,08,Kennedy,954214
2007,09,Fontibón,316132
2007,10,Engativá,784883
2007,11,Suba,979041
2007,12,Barrios Unidos,189810
2007,13,Teusaquillo,137347
2007,14,Los Mártires,86156
2007,15,Antonio Nariño,101983
2007,16,Puente Aranda,245418
2007,17,La Candelaria,20461
2007,18,Rafael Uribe Uribe,366482
2007,19,Ciudad Bolívar,575100
2007,20,Sumapaz,4947
2008,01,Usaquén,465244
2008,02,Chapinero,135889
2008,03,Santa Fe,98645
2008,04,San Cristóbal,389916
2008,05,Usme,322963
2008,06,Tunjuelito,175023
2008,07,Bosa,581534
2008,08,Kennedy,963398
2008,09,Fontibón,324399
2008,10,Engativá,783921
2008,11,Suba,1008065
2008,12,Barrios Unidos,178732
2008,13,Teusaquillo,138293
2008,14,Los Mártires,83509
2008,15,Antonio Nariño,97444
2008,16,Puente Aranda,244217
2008,17,La Candelaria,19774
2008,18,Rafael Uribe Uribe,364990
2008,19,Ciudad Bolívar,580011
2008,20,Sumapaz,4545
2009,01,Usaquén,477857
2009,02,Chapinero,139559
2009,03,Santa Fe,99428
2009,04,San Cristóbal,388169
2009,05,Usme,329740
2009,06,Tunjuelito,173979
2009,07,Bosa,601976
2009,08,Kennedy,972087
2009,09,Fontibón,331686
2009,10,Engativá,783842
2009,11,Suba,1033570
2009,12,Barrios Unidos,169541
2009,13,Teusaquillo,139215
2009,14,Los Mártires,81352
2009,15,Antonio Nariño,93704
2009,16,Puente Aranda,243437
2009,17,La Candelaria,19219
2009,18,Rafael Uribe Uribe,364065
2009,19,Ciudad Bolívar,584760
2009,20,Sumapaz,4213
2010,01,Usaquén,488850
2010,02,Chapinero,142753
2010,03,Santa Fe,100177
2010,04,San Cristóbal,387010
2010,05,Usme,335777
2010,06,Tunjuelito,173235
2010,07,Bosa,619699
2010,08,Kennedy,980198
2010,09,Fontibón,338086
2010,10,Engativá,784404
2010,11,Suba,1055912
2010,12,Barrios Unidos,161921
2010,13,Teusaquillo,140098
2010,14,Los Mártires,79597
2010,15,Antonio Nariño,90640
2010,16,Puente Aranda,242970
2010,17,La Candelaria,18750
2010,18,Rafael Uribe Uribe,363581
2010,19,Ciudad Bolívar,589290
2010,20,Sumapaz,3938
2011,01,Usaquén,498133
2011,02,Chapinero,145455
2011,03,Santa Fe,100799
2011,04,San Cristóbal,386068
2011,05,Usme,340938
2011,06,Tunjuelito,172613
2011,07,Bosa,634651
2011,08,Kennedy,987100
2011,09,Fontibón,343504
2011,10,Engativá,784935
2011,11,Suba,1074805
2011,12,Barrios Unidos,155514
2011,13,Teusaquillo,140850
2011,14,Los Mártires,78119
2011,15,Antonio Nariño,88065
2011,16,Puente Aranda,242588
2011,17,La Candelaria,18363
2011,18,Rafael Uribe Uribe,363220
2011,19,Ciudad Bolívar,593222
2011,20,Sumapaz,3714
2012,01,Usaquén,505657
2012,02,Chapinero,147658
2012,03,Santa Fe,101296
2012,04,San Cristóbal,385095
2012,05,Usme,345128
2012,06,Tunjuelito,172012
2012,07,Bosa,646887
2012,08,Kennedy,992398
2012,09,Fontibón,347883
2012,10,Engativá,784983
2012,11,Suba,1090136
2012,12,Barrios Unidos,150063
2012,13,Teusaquillo,141395
2012,14,Los Mártires,76849
2012,15,Antonio Nariño,85852
2012,16,Puente Aranda,242138
2012,17,La Candelaria,18030
2012,18,Rafael Uribe Uribe,362714
2012,19,Ciudad Bolívar,596269
2012,20,Sumapaz,3537
2013,01,Usaquén,511667
2013,02,Chapinero,149412
2013,03,Santa Fe,101666
