year,population_bogota_source,population_sum_localities,difference
2005,6710910,6710910,0
2006,6801343,6801343,0
2007,6884569,6884569,0
2008,6960512,6960512,0
2009,7031399,7031399,0
2010,7096886,7096886,0
2011,7152656,7152656,0
2012,7195980,7195980,0
2013,7228427,7228427,0
2014,7252949,7252949,0
2015,7273265,7273265,0
2016,7300918,7300918,0
2017,7337449,7337449,0
2018,7391056,7391056,0
2019,7533202,7533202,0
2020,7717564,7717564,0
2021,7804920,7804920,0
2022,7849206,7849206,0
2023,7883928,7883928,0
2024,7918660,7918660,0
2025,7942867,7942867,0
2026,7945996,7945996,0
2027,7943941,7943941,0
2028,7937939,7937939,0
2029,7928632,7928632,0
2030,7916525,7916525,0
2031,7901596,7901596,0
2032,7883923,7883923,0
2033,7863483,7863483,0
2034,7840309,7840309,0
2035,7814324,7814324,0
