locality_code,locality_name,year,registered_person_thefts,period_label,period_start_month,period_end_month,is_partial_year,reported_123_theft_incidents,population,theft_rate_per_100k,incident_rate_per_100k,incidents_per_registered_theft,count_rank,rate_rank,rank_difference_count_minus_rate
01,Usaquén,2018,9913,Ene-May (2025vs2026),1,5,True,4888,534118,1855.956923,915.153580,0.49308988197316655,4,8,-4
02,Chapinero,2018,10373,Ene-May (2025vs2026),1,5,True,2718,156010,6648.932761,1742.196013,0.2620264147305505,3,3,0
03,Santa Fe,2018,7067,Ene-May (2025vs2026),1,5,True,2224,103640,6818.795832,2145.889618,0.31470213669166547,7,2,5
04,San Cristóbal,2018,2265,Ene-May (2025vs2026),1,5,True,2635,384392,589.242232,685.498137,1.163355408388521,15,16,-1
05,Usme,2018,1642,Ene-May (2025vs2026),1,5,True,1832,362295,453.221822,505.665273,1.1157125456760049,17,19,-2
06,Tunjuelito,2018,2074,Ene-May (2025vs2026),1,5,True,1532,171130,1211.944136,895.225852,0.7386692381870781,16,11,5
07,Bosa,2018,3949,Ene-May (2025vs2026),1,5,True,4111,692418,570.320240,593.716512,1.041023043808559,12,17,-5
08,Kennedy,2018,10690,Ene-May (2025vs2026),1,5,True,8500,1016834,1051.302376,835.927988,0.7951356407857811,2,13,-11
09,Fontibón,2018,5940,Ene-May (2025vs2026),1,5,True,2548,364832,1628.146654,698.403649,0.428956228956229,8,10,-2
10,Engativá,2018,9424,Ene-May (2025vs2026),1,5,True,6369,790205,1192.601920,805.993381,0.6758276740237691,5,12,-7
11,Suba,2018,11043,Ene-May (2025vs2026),1,5,True,7338,1149099,961.013803,638.587276,0.6644933441999457,1,14,-13
12,Barrios Unidos,2018,4306,Ene-May (2025vs2026),1,5,True,2078,132784,3242.860586,1564.947584,0.4825824431026475,10,6,4
13,Teusaquillo,2018,7111,Ene-May (2025vs2026),1,5,True,2270,144122,4934.014238,1575.054468,0.31922373787090425,6,5,1
14,Los Mártires,2018,3967,Ene-May (2025vs2026),1,5,True,1841,73076,5428.594888,2519.294981,0.46407864885303757,11,4,7
15,Antonio Nariño,2018,1621,Ene-May (2025vs2026),1,5,True,1121,79011,2051.613067,1418.789789,0.6915484268969772,18,7,11
16,Puente Aranda,2018,4462,Ene-May (2025vs2026),1,5,True,3368,242184,1842.400819,1390.678162,0.7548184670551322,9,9,0
17,La Candelaria,2018,1590,Ene-May (2025vs2026),1,5,True,412,17018,9343.048537,2420.966036,0.2591194968553459,19,1,18
18,Rafael Uribe Uribe,2018,3098,Ene-May (2025vs2026),1,5,True,3138,363471,852.337601,863.342605,1.012911555842479,13,15,-2
19,Ciudad Bolívar,2018,3041,Ene-May (2025vs2026),1,5,True,4065,611245,497.509182,665.036115,1.3367313383755344,14,18,-4
20,Sumapaz,2018,0,Ene-May (2025vs2026),1,5,True,0,3172,0.000000,0.000000,,20,20,0
01,Usaquén,2019,11979,Ene-May (2025vs2026),1,5,True,4752,556257,2153.500990,854.281384,0.39669421487603307,5,10,-5
02,Chapinero,2019,14343,Ene-May (2025vs2026),1,5,True,3420,158365,9056.925457,2159.568086,0.23844384020079482,1,2,-1
03,Santa Fe,2019,7615,Ene-May (2025vs2026),1,5,True,2003,106046,7180.846048,1888.802972,0.26303348653972425,8,3,5
04,San Cristóbal,2019,2830,Ene-May (2025vs2026),1,5,True,2580,387780,729.795245,665.325700,0.911660777385159,15,16,-1
05,Usme,2019,2164,Ene-May (2025vs2026),1,5,True,1414,369554,585.570715,382.623378,0.6534195933456562,18,19,-1
06,Tunjuelito,2019,2656,Ene-May (2025vs2026),1,5,True,1285,173152,1533.912401,742.122528,0.48381024096385544,16,11,5
07,Bosa,2019,5065,Ene-May (2025vs2026),1,5,True,4528,701367,722.161151,645.596385,0.8939782823297138,12,17,-5
08,Kennedy,2019,13142,Ene-May (2025vs2026),1,5,True,7853,1038169,1265.882530,756.427903,0.59754984020697,2,13,-11
09,Fontibón,2019,8009,Ene-May (2025vs2026),1,5,True,2669,371367,2156.626733,718.696061,0.33325009364464975,7,9,-2
10,Engativá,2019,12185,Ene-May (2025vs2026),1,5,True,6867,803512,1516.467707,854.623204,0.5635617562576939,4,12,-8
11,Suba,2019,13089,Ene-May (2025vs2026),1,5,True,7053,1175678,1113.315040,599.909159,0.5388494155397662,3,14,-11
12,Barrios Unidos,2019,5533,Ene-May (2025vs2026),1,5,True,2247,133784,4135.771094,1679.573043,0.40610880173504427,10,6,4
13,Teusaquillo,2019,8147,Ene-May (2025vs2026),1,5,True,2306,147038,5540.744569,1568.302072,0.2830489750828526,6,5,1
14,Los Mártires,2019,5084,Ene-May (2025vs2026),1,5,True,1939,73732,6895.242229,2629.794390,0.38139260424862315,11,4,7
15,Antonio Nariño,2019,2337,Ene-May (2025vs2026),1,5,True,1127,79278,2947.854386,1421.579757,0.48224219084296105,17,7,10
16,Puente Aranda,2019,5674,Ene-May (2025vs2026),1,5,True,3091,244880,2317.053251,1262.250898,0.5447655974621078,9,8,1
17,La Candelaria,2019,1734,Ene-May (2025vs2026),1,5,True,360,17054,10167.702592,2110.941715,0.20761245674740483,19,1,18
18,Rafael Uribe Uribe,2019,3970,Ene-May (2025vs2026),1,5,True,2718,368116,1078.464397,738.354214,0.6846347607052897,14,15,-1
19,Ciudad Bolívar,2019,4012,Ene-May (2025vs2026),1,5,True,3363,624876,642.047382,538.186776,0.8382352941176471,13,18,-5
20,Sumapaz,2019,0,Ene-May (2025vs2026),1,5,True,0,3197,0.000000,0.000000,,20,20,0
