source,locality_code,locality_name,year,metric,count,period_label,period_start_month,period_end_month,is_partial_year
incidente_reportado_123,99,Sin Localización,2018,alteracion_orden_publico,173,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2019,alteracion_orden_publico,209,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,alteracion_orden_publico,4348,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,alteracion_orden_publico,191,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,alteracion_orden_publico,757,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,alteracion_orden_publico,142,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,alteracion_orden_publico,123,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,alteracion_orden_publico,159,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,alteracion_orden_publico,146,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2018,disparos,6,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2019,disparos,15,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,disparos,209,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,disparos,8,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,disparos,122,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,disparos,17,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,disparos,18,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,disparos,12,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,disparos,11,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2018,habitantes_calle,7,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2019,habitantes_calle,7,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,habitantes_calle,104,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,habitantes_calle,4,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,habitantes_calle,20,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,habitantes_calle,14,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,habitantes_calle,6,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,habitantes_calle,18,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,habitantes_calle,9,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2018,hurto,88,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2019,hurto,163,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2020,hurto,1845,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2021,hurto,119,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2022,hurto,958,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2023,hurto,278,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2024,hurto,207,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2025,hurto,254,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2026,hurto,218,Ene-May (2025vs2026),1,5,True
incidente_reportado_123,99,Sin Localización,2018,maltrato,101,Ene-May (2025vs2026),1,5,True
