locality_code,locality_name,registered_person_thefts_2025,registered_person_thefts_2026,reported_123_theft_incidents_2025,reported_123_theft_incidents_2026,population_2025,population_2026,theft_rate_per_100k_2025,theft_rate_per_100k_2026,incident_rate_per_100k_2025,incident_rate_per_100k_2026,incidents_per_registered_theft_2025,incidents_per_registered_theft_2026,count_rank_2025,count_rank_2026,rate_rank_2025,rate_rank_2026,theft_change_pct,incident_change_pct,theft_rate_change_pct,divergence_percentage_points,count_rate_rank_gap_2026
01,Usaquén,3421.000000,3290.000000,3617.000000,3357.000000,586286.000000,584326.000000,583.503614,563.041864,616.934397,574.508066,1.057293,1.020365,6.000000,6.000000,12.000000,10.000000,-3.829290,-7.188278,-3.506705,-3.358988,-4.000000
02,Chapinero,3655.000000,3865.000000,2720.000000,2953.000000,161162.000000,160175.000000,2267.904345,2412.985797,1687.742768,1843.608553,0.744186,0.764036,5.000000,4.000000,5.000000,4.000000,5.745554,8.566176,6.397159,2.820622,0.000000
03,Santa Fe,2797.000000,2970.000000,1924.000000,2015.000000,113315.000000,113327.000000,2468.340467,2620.734688,1697.921723,1778.040538,0.687880,0.678451,9.000000,7.000000,3.000000,2.000000,6.185198,4.729730,6.173955,-1.455469,5.000000
04,San Cristóbal,1321.000000,1340.000000,2312.000000,2338.000000,394686.000000,393880.000000,334.696442,340.205139,585.782115,593.581802,1.750189,1.744776,15.000000,15.000000,16.000000,16.000000,1.438304,1.124567,1.645879,-0.313737,-1.000000
05,Usme,1143.000000,894.000000,1737.000000,1484.000000,399153.000000,401629.000000,286.356360,222.593488,435.171476,369.495231,1.519685,1.659955,16.000000,17.000000,19.000000,19.000000,-21.784777,-14.565343,-22.266966,7.219434,-2.000000
06,Tunjuelito,1122.000000,888.000000,1331.000000,1183.000000,175399.000000,174699.000000,639.684377,508.302852,758.841270,677.164723,1.186275,1.332207,17.000000,18.000000,10.000000,12.000000,-20.855615,-11.119459,-20.538492,9.736156,6.000000
07,Bosa,2305.000000,2587.000000,3348.000000,3425.000000,768002.000000,773327.000000,300.129427,334.528602,435.936365,442.891558,1.452495,1.323927,10.000000,10.000000,18.000000,17.000000,12.234273,2.299881,11.461447,-9.934393,-7.000000
08,Kennedy,4682.000000,4068.000000,6705.000000,6528.000000,1103801.000000,1104934.000000,424.170661,368.166786,607.446451,590.804519,1.432080,1.604720,3.000000,3.000000,15.000000,15.000000,-13.114054,-2.639821,-13.203147,10.474233,-12.000000
09,Fontibón,3282.000000,2901.000000,2998.000000,2957.000000,385455.000000,384256.000000,851.461260,754.965440,777.782102,769.539057,0.913467,1.019304,7.000000,8.000000,9.000000,9.000000,-11.608775,-1.367578,-11.332967,10.241197,-1.000000
10,Engativá,5279.000000,4556.000000,6388.000000,6478.000000,831165.000000,828873.000000,635.132615,549.662011,768.559793,781.543131,1.210078,1.421861,2.000000,2.000000,11.000000,11.000000,-13.695776,1.408892,-13.457127,15.104667,-9.000000
11,Suba,5762.000000,4858.000000,6400.000000,6359.000000,1251652.000000,1252218.000000,460.351599,387.951619,511.324234,507.818926,1.110725,1.308975,1.000000,1.000000,13.000000,14.000000,-15.688997,-0.640625,-15.727105,15.048372,-13.000000
12,Barrios Unidos,2077.000000,1867.000000,2421.000000,2632.000000,135332.000000,134573.000000,1534.744185,1387.351103,1788.933881,1955.815803,1.165623,1.409748,13.000000,12.000000,6.000000,6.000000,-10.110737,8.715407,-9.603756,18.826143,6.000000
13,Teusaquillo,3734.000000,3404.000000,2683.000000,3486.000000,155083.000000,154663.000000,2407.742951,2200.914246,1730.041333,2253.932744,0.718532,1.024089,4.000000,5.000000,4.000000,5.000000,-8.837708,29.929184,-8.590149,38.766891,0.000000
14,Los Mártires,2167.000000,1957.000000,2396.000000,2425.000000,75471.000000,75373.000000,2871.301560,2596.420469,3174.729366,3217.332467,1.105676,1.239142,12.000000,11.000000,2.000000,3.000000,-9.690817,1.210351,-9.573397,10.901167,8.000000
15,Antonio Nariño,913.000000,946.000000,1553.000000,1284.000000,77392.000000,76643.000000,1179.708497,1234.294065,2006.667356,1675.299766,1.700986,1.357294,18.000000,16.000000,8.000000,7.000000,3.614458,-17.321314,4.627039,-20.935771,9.000000
16,Puente Aranda,2957.000000,2685.000000,3355.000000,2939.000000,249519.000000,248758.000000,1185.080094,1079.362272,1344.586985,1181.469541,1.134596,1.094600,8.000000,9.000000,7.000000,8.000000,-9.198512,-12.399404,-8.920732,-3.200892,1.000000
17,La Candelaria,598.000000,620.000000,314.000000,305.000000,16574.000000,16449.000000,3608.060818,3769.226093,1894.533607,1854.216062,0.525084,0.491935,19.000000,19.000000,1.000000,1.000000,3.678930,-2.866242,4.466811,-6.545172,18.000000
18,Rafael Uribe Uribe,1643.000000,1517.000000,2715.000000,2675.000000,375043.000000,373665.000000,438.083100,405.978617,723.916991,715.881873,1.652465,1.763349,14.000000,14.000000,14.000000,13.000000,-7.668898,-1.473297,-7.328400,6.195602,1.000000
19,Ciudad Bolívar,2185.000000,1693.000000,2807.000000,3151.000000,685039.000000,690843.000000,318.959942,245.062916,409.757693,456.109420,1.284668,1.861193,11.000000,13.000000,17.000000,18.000000,-22.517162,12.255077,-23.168121,34.772239,-5.000000
20,Sumapaz,0.000000,0.000000,1.000000,1.000000,3338.000000,3385.000000,0.000000,0.000000,29.958059,29.542097,,,20.000000,20.000000,20.000000,20.000000,,0.000000,,,0.000000
